,Reporting Year___x,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
30,2020 and 2021,BK27,3,141,338.33514054550005,24.615384615384617,11389.329108752238,80.77538375001586,13,120.39677419354838,23.222727272727273,840.5273908877139,64.65595314520876,154,0.08441558441558442
31,2020 and 2021,BK27,3,141,338.33514054550005,24.615384615384617,11389.329108752238,80.77538375001586,7,154.2802385008518,24.371517027863778,495.5433052047395,70.79190074353421,148,0.0472972972972973
32,2019 and 2020,BK28,3,585,507.9719387755102,16.915841584158414,48147.34491592674,82.30315370243888,45,274.98214285714283,23.836363636363636,3478.277508115634,77.29505573590298,630,0.07142857142857142
33,2019 and 2020,BK28,3,585,507.9719387755102,16.915841584158414,48147.34491592674,82.30315370243888,57,274.98214285714283,24.5351580934403,3873.869729747118,67.96262683766874,642,0.08878504672897196
34,2020 and 2021,BK28,3,592,507.9719387755102,20.475,48785.34547344332,82.4076781646002,45,274.98214285714283,23.836363636363636,3478.277508115634,77.29505573590298,637,0.0706436420722135
35,2020 and 2021,BK28,3,592,507.9719387755102,20.475,48785.34547344332,82.4076781646002,57,274.98214285714283,24.5351580934403,3873.869729747118,67.96262683766874,649,0.08782742681047766
36,2019 and 2020,BK29,3,332,549.140625,18.183361629881155,24523.44085856352,73.86578571856482,37,138.37592745259687,24.893617021276597,3038.4559155276966,82.12043014939721,369,0.1002710027100271
37,2019 and 2020,BK29,3,332,549.140625,18.183361629881155,24523.44085856352,73.86578571856482,43,138.37592745259687,30.998275862068965,3247.2267785809063,75.51690182746293,375,0.11466666666666667
38,2020 and 2021,BK29,3,339,549.140625,18.183361629881155,25517.476720164654,75.27279268485148,37,138.37592745259687,24.893617021276597,3038.4559155276966,82.12043014939721,376,0.09840425531914894
39,2020 and 2021,BK29,3,339,549.140625,18.183361629881155,25517.476720164654,75.27279268485148,43,138.37592745259687,30.998275862068965,3247.2267785809063,75.51690182746293,382,0.112565445026178
40,2019 and 2020,BK30,3,178,462.001524003048,24.3,13790.389740749399,77.47409966713145,19,140.86363636363637,39.11087038040082,1532.922047176454,80.68010774612917,197,0.09644670050761421
41,2019 and 2020,BK30,3,178,462.001524003048,24.3,13790.389740749399,77.47409966713145,24,128.625,25.953846153846154,1577.0943731965028,65.71226554985428,202,0.1188118811881188
42,2020 and 2021,BK30,3,194,462.001524003048,24.45,15231.152913857559,78.51109749411113,19,140.86363636363637,39.11087038040082,1532.922047176454,80.68010774612917,213,0.0892018779342723
43,2020 and 2021,BK30,3,194,462.001524003048,24.45,15231.152913857559,78.51109749411113,24,128.625,25.953846153846154,1577.0943731965028,65.71226554985428,218,0.11009174311926606
44,2019 and 2020,BK31,3,694,537.5322580645161,20.785047757989485,59340.45849593124,85.50498342353205,72,265.734375,10.972222222222221,5115.923829756664,71.05449763550922,766,0.09399477806788512
45,2019 and 2020,BK31,3,694,537.5322580645161,20.785047757989485,59340.45849593124,85.50498342353205,83,345.54336576278206,10.972222222222221,6215.303959830206,74.88318023891814,777,0.10682110682110682
46,2020 and 2021,BK31,3,596,409.6328538985617,20.785047757989485,52042.35815659698,87.31939288019628,72,265.734375,10.972222222222221,5115.923829756664,71.05449763550922,668,0.10778443113772455
47,2020 and 2021,BK31,3,596,409.6328538985617,20.785047757989485,52042.35815659698,87.31939288019628,83,345.54336576278206,10.972222222222221,6215.303959830206,74.88318023891814,679,0.12223858615611193
48,2019 and 2020,BK32,3,618,254.51162790697674,19.130265210608425,39666.43253372518,64.18516591217667,95,140.88235294117646,22.77429578315436,5307.267197353688,55.86597049845987,713,0.1332398316970547
49,2019 and 2020,BK32,3,618,254.51162790697674,19.130265210608425,39666.43253372518,64.18516591217667,113,177.7770937476914,22.77429578315436,10603.31129038295,93.83461318922964,731,0.1545827633378933
50,2020 and 2021,BK32,3,640,371.83561643835617,19.130265210608425,42152.671211815265,65.86354876846136,95,140.88235294117646,22.77429578315436,5307.267197353688,55.86597049845987,735,0.1292517006802721
51,2020 and 2021,BK32,3,640,371.83561643835617,19.130265210608425,42152.671211815265,65.86354876846136,113,177.7770937476914,22.77429578315436,10603.31129038295,93.83461318922964,753,0.150066401062417
52,2019 and 2020,BK33,3,246,286.07142857142856,11.793103448275861,26958.545710001817,109.58758418699925,44,224.55,15.573529411764707,4756.55995511308,108.10363534347908,290,0.15172413793103448
53,2019 and 2020,BK33,3,246,286.07142857142856,11.793103448275861,26958.545710001817,109.58758418699925,36,208.8623248145095,17.25,3871.229154630661,107.53414318418503,282,0.1276595744680851
54,2020 and 2021,BK33,3,260,329.0625,25.34385406109744,29656.36395506216,114.06293828870061,44,224.55,15.573529411764707,4756.55995511308,108.10363534347908,304,0.14473684210526316
55,2020 and 2021,BK33,3,260,329.0625,25.34385406109744,29656.36395506216,114.06293828870061,36,208.8623248145095,17.25,3871.229154630661,107.53414318418503,296,0.12162162162162163
56,2019 and 2020,BK34,3,550,363.7362637362637,21.555,45978.58276228192,83.59742320414894,74,272.65263157894736,23.636363636363637,5557.649168387974,75.10336714037803,624,0.11858974358974358
57,2019 and 2020,BK34,3,550,363.7362637362637,21.555,45978.58276228192,83.59742320414894,71,140.4503105590062,22.842105263157894,4930.906977416034,69.44939404811316,621,0.1143317230273752
58,2020 and 2021,BK34,3,535,375.5223880597015,21.555,44443.92198324538,83.07275137055211,74,272.65263157894736,23.636363636363637,5557.649168387974,75.10336714037803,609,0.12151067323481117
59,2020 and 2021,BK34,3,535,375.5223880597015,21.555,44443.92198324538,83.07275137055211,71,140.4503105590062,22.842105263157894,4930.906977416034,69.44939404811316,606,0.11716171617161716
60,2019 and 2020,BK35,3,242,219.3643512450852,8.916666666666666,15209.86365905209,62.85067627707475,47,135.21505376344086,5.7579462102689485,2628.1965594855246,55.919075733734566,289,0.16262975778546712
61,2019 and 2020,BK35,3,242,219.3643512450852,8.916666666666666,15209.86365905209,62.85067627707475,40,92.592,5.7579462102689485,2228.5200276292026,55.71300069073006,282,0.14184397163120568
62,2020 and 2021,BK35,3,251,219.3643512450852,21.88421052631579,16169.391124442276,64.41988495793736,47,135.21505376344086,5.7579462102689485,2628.1965594855246,55.919075733734566,298,0.15771812080536912
63,2020 and 2021,BK35,3,251,219.3643512450852,21.88421052631579,16169.391124442276,64.41988495793736,40,92.592,5.7579462102689485,2228.5200276292026,55.71300069073006,291,0.13745704467353953
64,2019 and 2020,BK37,3,717,413.22115384615387,14.524590163934427,97038.07695260475,135.33901945969978,114,302.9836863194047,19.753676470588236,14051.217942916377,123.2562977448805,831,0.1371841155234657
65,2019 and 2020,BK37,3,717,413.22115384615387,14.524590163934427,97038.07695260475,135.33901945969978,110,350.468963165075,20.618081180811807,14407.262774509178,130.97511613190161,827,0.13301088270858524
66,2020 and 2021,BK37,3,686,413.22115384615387,19.44,94582.30181654675,137.8750755343247,114,302.9836863194047,19.753676470588236,14051.217942916377,123.2562977448805,800,0.1425
67,2020 and 2021,BK37,3,686,413.22115384615387,19.44,94582.30181654675,137.8750755343247,110,350.468963165075,20.618081180811807,14407.262774509178,130.97511613190161,796,0.13819095477386933
68,2019 and 2020,BK38,3,488,456.9463087248322,31.434146341463414,65697.95925954114,134.62696569578102,79,345.9264126149803,35.423280423280424,9809.341095627922,124.16887462820155,567,0.13932980599647266
69,2019 and 2020,BK38,3,488,456.9463087248322,31.434146341463414,65697.95925954114,134.62696569578102,102,345.9264126149803,28.25755475464375,12390.087343711606,121.47144454619222,590,0.17288135593220338
70,2020 and 2021,BK38,3,497,506.2,31.434146341463414,66372.73333444042,133.54674715179158,79,345.9264126149803,35.423280423280424,9809.341095627922,124.16887462820155,576,0.1371527777777778
71,2020 and 2021,BK38,3,497,506.2,31.434146341463414,66372.73333444042,133.54674715179158,102,345.9264126149803,28.25755475464375,12390.087343711606,121.47144454619222,599,0.17028380634390652
72,2019 and 2020,BK40,3,68,567.5480769230769,21.225,8770.218566468007,128.97380244805893,5,60.674418604651166,25.56,208.7635310519736,41.75270621039472,73,0.0684931506849315
73,2019 and 2020,BK40,3,68,567.5480769230769,21.225,8770.218566468007,128.97380244805893,4,204.67210807768083,73.04081632653062,563.6039463080132,140.9009865770033,72,0.05555555555555555
74,2020 and 2021,BK40,3,80,567.5480769230769,21.225,9666.510574536931,120.83138218171163,5,60.674418604651166,25.56,208.7635310519736,41.75270621039472,85,0.058823529411764705
75,2020 and 2021,BK40,3,80,567.5480769230769,21.225,9666.510574536931,120.83138218171163,4,204.67210807768083,73.04081632653062,563.6039463080132,140.9009865770033,84,0.047619047619047616
76,2019 and 2020,BK41,3,168,415.1806414219474,24.25588235294118,13281.70689695771,79.0577791485578,14,141.62790697674419,24.25588235294118,1102.432867059848,78.74520478998913,182,0.07692307692307693
77,2019 and 2020,BK41,3,168,415.1806414219474,24.25588235294118,13281.70689695771,79.0577791485578,16,141.62790697674419,24.25588235294118,1098.1058237361497,68.63161398350935,184,0.08695652173913043
78,2020 and 2021,BK41,3,156,415.1806414219474,24.25588235294118,12370.96524228093,79.30105924539058,14,141.62790697674419,24.25588235294118,1102.432867059848,78.74520478998913,170,0.08235294117647059
79,2020 and 2021,BK41,3,156,415.1806414219474,24.25588235294118,12370.96524228093,79.30105924539058,16,141.62790697674419,24.25588235294118,1098.1058237361497,68.63161398350935,172,0.09302325581395349
80,2019 and 2020,BK42,3,426,500.1470588235294,11.959910913140313,33058.37541941048,77.60182023335793,44,114.87006960556845,21.0,2698.552833336542,61.330746212194136,470,0.09361702127659574
81,2019 and 2020,BK42,3,426,500.1470588235294,11.959910913140313,33058.37541941048,77.60182023335793,50,137.45892243026367,20.416666666666668,3490.16729975432,69.8033459950864,476,0.10504201680672269
82,2020 and 2021,BK42,3,446,500.1470588235294,21.23455233291299,34650.09566257902,77.69079744972875,44,114.87006960556845,21.0,2698.552833336542,61.330746212194136,490,0.08979591836734693
83,2020 and 2021,BK42,3,446,500.1470588235294,21.23455233291299,34650.09566257902,77.69079744972875,50,137.45892243026367,20.416666666666668,3490.16729975432,69.8033459950864,496,0.10080645161290322
84,2019 and 2020,BK43,3,244,291.20781527531085,15.41584723720104,19467.22230142833,79.78369795667348,24,113.4,21.90909090909091,1183.9864988757388,49.332770786489114,268,0.08955223880597014
85,2019 and 2020,BK43,3,244,291.20781527531085,15.41584723720104,19467.22230142833,79.78369795667348,30,113.4,22.44078947368421,1635.9621192552515,54.53207064184172,274,0.10948905109489052
86,2020 and 2021,BK43,3,249,250.5681818181818,17.919642857142858,17962.990310947727,72.14052333713947,24,113.4,21.90909090909091,1183.9864988757388,49.332770786489114,273,0.08791208791208792
87,2020 and 2021,BK43,3,249,250.5681818181818,17.919642857142858,17962.990310947727,72.14052333713947,30,113.4,22.44078947368421,1635.9621192552515,54.53207064184172,279,0.10752688172043011
88,2019 and 2020,BK44,3,300,331.875,18.48730114429249,28523.973624023867,95.07991208007955,25,184.6015037593985,30.08823529411765,2412.717083582001,96.50868334328004,325,0.07692307692307693
89,2019 and 2020,BK44,3,300,331.875,18.48730114429249,28523.973624023867,95.07991208007955,35,205.3846153846154,30.08823529411765,3247.294463019797,92.77984180056563,335,0.1044776119402985
90,2020 and 2021,BK44,3,292,255.9,23.008064516129032,28264.668084942925,96.7968085100785,25,184.6015037593985,30.08823529411765,2412.717083582001,96.50868334328004,317,0.07886435331230283
